yorum,hiz,servis,lezzet,Label
İlk siparişim güzeldi begendim tşkler.,10,10,10,pozitif
Başarılı bir çalışma gayet lezzetli teşekürler..,10,10,10,pozitif
Naneler kararmıştı biraz dikkat.,1,1,1,negatif
11 11 11 11 harika.,10,10,10,pozitif
Başarılı oses herkeze tercihimdir bozmadan böyle devam.,10,10,10,pozitif
Güzeldi begedim tşkler oses ailesi inamoto.,10,10,10,pozitif
Gayet güzel ve lezzetli yeni restorant olmasına rağmen her şey güzeldi teşekkür ederim.,10,10,10,pozitif
Helal gencler.,10,10,10,pozitif
Bu güne kadar yediğim en lezzetli çiğköfte teşekkürler.,10,10,10,pozitif
Guzeldi.,10,10,10,pozitif
Yediğim en iyi çiğköfte. Lavaşı harika servis çok hızlı... Gönül rahatlığı ile söylenebilir.,10,10,10,pozitif
"15 dakika gibi inanilmaz kisa bir zamanda geldi, her sey harikaydi.",10,10,10,pozitif
Hizda. Lezzette. Suparrrr elinize saglik.,10,10,10,pozitif
İlk siparişim güzeldi begendim tşkler.,10,10,10,pozitif
Başarılı bir çalışma gayet lezzetli teşekürler..,10,10,10,pozitif
Naneler kararmıştı biraz dikkat.,1,1,1,negatif
11 11 11 11 harika.,10,10,10,pozitif
Başarılı oses herkeze tercihimdir bozmadan böyle devam.,10,10,10,pozitif
Güzeldi begedim tşkler oses ailesi inamoto.,10,10,10,pozitif
Gayet güzel ve lezzetli yeni restorant olmasına rağmen her şey güzeldi teşekkür ederim.,10,10,10,pozitif
Helal gencler.,10,10,10,pozitif
Bu güne kadar yediğim en lezzetli çiğköfte teşekkürler.,10,10,10,pozitif
Guzeldi.,10,10,10,pozitif
Yediğim en iyi çiğköfte. Lavaşı harika servis çok hızlı... Gönül rahatlığı ile söylenebilir.,10,10,10,pozitif
"15 dakika gibi inanilmaz kisa bir zamanda geldi, her sey harikaydi.",10,10,10,pozitif
Hizda. Lezzette. Suparrrr elinize saglik.,10,10,10,pozitif
İlk siparişim güzeldi begendim tşkler.,10,10,10,pozitif
Başarılı bir çalışma gayet lezzetli teşekürler..,10,10,10,pozitif
Naneler kararmıştı biraz dikkat.,1,1,1,negatif
11 11 11 11 harika.,10,10,10,pozitif
Başarılı oses herkeze tercihimdir bozmadan böyle devam.,10,10,10,pozitif
Güzeldi begedim tşkler oses ailesi inamoto.,10,10,10,pozitif
Gayet güzel ve lezzetli yeni restorant olmasına rağmen her şey güzeldi teşekkür ederim.,10,10,10,pozitif
Helal gencler.,10,10,10,pozitif
Bu güne kadar yediğim en lezzetli çiğköfte teşekkürler.,10,10,10,pozitif
Guzeldi.,10,10,10,pozitif
Yediğim en iyi çiğköfte. Lavaşı harika servis çok hızlı... Gönül rahatlığı ile söylenebilir.,10,10,10,pozitif
"15 dakika gibi inanilmaz kisa bir zamanda geldi, her sey harikaydi.",10,10,10,pozitif
Hizda. Lezzette. Suparrrr elinize saglik.,10,10,10,pozitif
İlk siparişim güzeldi begendim tşkler.,10,10,10,pozitif
Başarılı bir çalışma gayet lezzetli teşekürler..,10,10,10,pozitif
Naneler kararmıştı biraz dikkat.,1,1,1,negatif
11 11 11 11 harika.,10,10,10,pozitif
Başarılı oses herkeze tercihimdir bozmadan böyle devam.,10,10,10,pozitif
Güzeldi begedim tşkler oses ailesi inamoto.,10,10,10,pozitif
Gayet güzel ve lezzetli yeni restorant olmasına rağmen her şey güzeldi teşekkür ederim.,10,10,10,pozitif
Helal gencler.,10,10,10,pozitif
Bu güne kadar yediğim en lezzetli çiğköfte teşekkürler.,10,10,10,pozitif
Guzeldi.,10,10,10,pozitif
Yediğim en iyi çiğköfte. Lavaşı harika servis çok hızlı... Gönül rahatlığı ile söylenebilir.,10,10,10,pozitif
"15 dakika gibi inanilmaz kisa bir zamanda geldi, her sey harikaydi.",10,10,10,pozitif
Hizda. Lezzette. Suparrrr elinize saglik.,10,10,10,pozitif
İlk siparişim güzeldi begendim tşkler.,10,10,10,pozitif
Başarılı bir çalışma gayet lezzetli teşekürler..,10,10,10,pozitif
Naneler kararmıştı biraz dikkat.,1,1,1,negatif
11 11 11 11 harika.,10,10,10,pozitif
Başarılı oses herkeze tercihimdir bozmadan böyle devam.,10,10,10,pozitif
Güzeldi begedim tşkler oses ailesi inamoto.,10,10,10,pozitif
Gayet güzel ve lezzetli yeni restorant olmasına rağmen her şey güzeldi teşekkür ederim.,10,10,10,pozitif
Helal gencler.,10,10,10,pozitif
Bu güne kadar yediğim en lezzetli çiğköfte teşekkürler.,10,10,10,pozitif
Guzeldi.,10,10,10,pozitif
Yediğim en iyi çiğköfte. Lavaşı harika servis çok hızlı... Gönül rahatlığı ile söylenebilir.,10,10,10,pozitif
"15 dakika gibi inanilmaz kisa bir zamanda geldi, her sey harikaydi.",10,10,10,pozitif
Hizda. Lezzette. Suparrrr elinize saglik.,10,10,10,pozitif
İlk siparişim güzeldi begendim tşkler.,10,10,10,pozitif
Başarılı bir çalışma gayet lezzetli teşekürler..,10,10,10,pozitif
Naneler kararmıştı biraz dikkat.,1,1,1,negatif
11 11 11 11 harika.,10,10,10,pozitif
Başarılı oses herkeze tercihimdir bozmadan böyle devam.,10,10,10,pozitif
Güzeldi begedim tşkler oses ailesi inamoto.,10,10,10,pozitif
Gayet güzel ve lezzetli yeni restorant olmasına rağmen her şey güzeldi teşekkür ederim.,10,10,10,pozitif
Helal gencler.,10,10,10,pozitif
Bu güne kadar yediğim en lezzetli çiğköfte teşekkürler.,10,10,10,pozitif
Guzeldi.,10,10,10,pozitif
Yediğim en iyi çiğköfte. Lavaşı harika servis çok hızlı... Gönül rahatlığı ile söylenebilir.,10,10,10,pozitif
"15 dakika gibi inanilmaz kisa bir zamanda geldi, her sey harikaydi.",10,10,10,pozitif
Hizda. Lezzette. Suparrrr elinize saglik.,10,10,10,pozitif
İlk siparişim güzeldi begendim tşkler.,10,10,10,pozitif
Başarılı bir çalışma gayet lezzetli teşekürler..,10,10,10,pozitif
Naneler kararmıştı biraz dikkat.,1,1,1,negatif
11 11 11 11 harika.,10,10,10,pozitif
Başarılı oses herkeze tercihimdir bozmadan böyle devam.,10,10,10,pozitif
Güzeldi begedim tşkler oses ailesi inamoto.,10,10,10,pozitif
Gayet güzel ve lezzetli yeni restorant olmasına rağmen her şey güzeldi teşekkür ederim.,10,10,10,pozitif
Helal gencler.,10,10,10,pozitif
Bu güne kadar yediğim en lezzetli çiğköfte teşekkürler.,10,10,10,pozitif
Hic fena degildi.,9,9,8,pozitif
Hızlı hizmet!,10,10,10,pozitif
Fazla ümitlenmeyin lezzetsiz.,6,8,4,nötr
Guzel.,9,9,10,pozitif
Siparişimizde acı olmaması gerektiğini işaretlememize rağmen boğazımızı yakacak kadar acıydı... Beğenmedik.,9,9,3,pozitif
Manyak mekan.,10,10,10,pozitif
Nar ekşisi roka gelmedi. Ek olarak midye dolmalar oldukça siyahtı.,1,1,1,negatif
Teşekkürler gayet güzeldi.,10,8,8,pozitif
"Gayrettepedeki o ses ten söyley, nce çok memnun kalıyoruz fakat buranın fiyatları daha fazla olmasıyla birlikte çiğköftenin tadı çok kötüydü ve midyeler bozuk gibiydi.",4,4,1,negatif
"Notlari dikkate pek almiyorlar, lezzette hic sikinti yok.",9,7,9,pozitif
Lezzet servis mükemmel ıslak mendil unutulmuş ama puan kırmıyorum.,10,10,10,pozitif
Lezzet çok iyiydi ama bir saatte geldi.,6,10,10,pozitif
Göbek salatalar biraz daha taze olsun.,10,8,8,pozitif
Güzel.,8,9,8,pozitif
Siparisim çok hızlı geldi. Teşekkürler.,10,10,10,pozitif
Sipariş eksik geldi zaten lavası 4 adet gönderiyosıyosunuz onuda eksik göndermişssiniz.,9,3,9,pozitif
İzmirdekiler kadar olmasada istanbuldakilere kıyasla çok beğendim(mideyeyi) boyut açısından küçük de büyük de vardı ayrıca notu dikkate alıp fazla limon da gönderdiler thanx.,10,10,9,pozitif
"Çok lezzetli bir çiğ köfte yedik, yeşillikler de olabildiğince tazeydi. Gramaja biraz daha dikkat edilmeli.",9,9,10,pozitif
Süper.,10,10,10,pozitif
Midyeler küçüktü.,8,8,8,pozitif
Özel çiğ köftesi çok lezzetli. Teşekkürler.,10,9,10,pozitif
Tam olarak 9 dakikada geldi. Hız için 11 verebilsem 11 verirdim 10 üzerinden.,10,10,10,pozitif
10dk da geldi ve tadı mükemmel.,10,10,10,pozitif
Mega adındaki dürümünüz mega kelimesinin anlamını karşılamıyor bana göre. Lezzetli ama daha az acılı ve bol maydonozlu olsa daha güzel olur.,10,8,8,pozitif
Her zamanki gibi kaliteeerr.,10,10,10,pozitif
Midyeler gerçekten bayattı.,9,4,5,nötr
Abartmıyorum siparısım 5 dk ıcınde eksiksiz ve guzel geldi tesekkurler.,10,10,10,pozitif
Özellikle domate istedigim halde eklenmedi pakete!,2,1,1,negatif
"Sirf tabelada plus yaziyor diye bir de kraft posetle gonderiyorsunuz diye 15 liralik cigkofteye 25 lira oduyoruz. Parasini odedigim halde icecegimi unutuyorsunuz, not kismina yazdigim halde okumaya tenezzul bile etmiyorsunuz. Sizin gibi isletmelerin varolmamasi lazim hakkini veremiyorsunuz.",1,1,1,negatif
Urunleri oldukca kaliteli ve taze.,8,8,8,pozitif
"Sipariş çok hızlı geldi, midyesi güzel çiğköftesi daha iyi olabilirdi.",10,9,9,pozitif
"Spesiyalleri zincir rakipleri arasında, hakiki çiğ köfteye en yakını. Tebrik ederim.",10,10,10,pozitif
Çok iyiydi. Dürümdeki malzemeler tam ayarında konulmuş ne eksik ne fazla.,10,10,10,pozitif
Ya biraz özenin şu insanların yiyeceğine yeter size yazmakttan usandık artık. Paketlemeleriniz servisiniz berbat.,7,1,1,negatif
Süpperrrrr.,10,10,10,pozitif
Çıkarmak istedikleriniz kısmıyla boşuna uğraşmayın zaten sadece lavaşa çiğköfte sürüp getiriyor.,1,1,1,negatif
Yavandı.,9,9,9,pozitif
Asiri hizli. 7-8 dkda getiriyolar. Helal.,10,10,9,pozitif
Sipariş eksik ve çok geç geldi.,3,3,3,negatif
Mükemmel lezzet.,10,10,10,pozitif
Çiğ köftesi diğer markalara göre çok daha lezzetli. Paketleme-servis çok özenliydi.,10,10,10,pozitif
İnşallah daha cok kazamak için midyecilerini değiştirmezler dolaptan çıkmış buz gibiydi midyeler ama yediğim en kaliteli temiz midyelerdendi yorumdada yazmış o muhtar her kimse gercekten midyeci ahmet halt etmiş.,9,10,10,pozitif
14 midye geldi...,9,8,8,pozitif
İçinde neredeyse hiç çiğköfte yoktu ve geç geldi.,3,5,1,negatif
Siparis notumu sonradan gordukleri icin beni arayip ozur dileyip tekrardan kurye yolladilar ilgi ve lezzet cok guzeldi.,10,10,10,pozitif
Gerçekten çok lezzetli.,10,10,10,pozitif
Gayet iyi. Bol taze yeşillik.,10,10,10,pozitif
Süperdi.,10,10,10,pozitif
Bol maydanoz yerine roka ve nane eşitliği sağlanıp lezzet arttırılabilir.,10,9,9,pozitif
Cigkofte eh. Midyeler mukemmel midyeci ahmet kimmiş.,9,9,9,pozitif
Çok az malzeme gelmiş limon çok çok az idi.,8,7,9,pozitif
"Gayet iyiydi, teşekkürler.",10,10,10,pozitif
"Çok hızlı geldi, ama ıslak mendil yoktu.",10,8,8,pozitif
Siparişim 11 dakikada çok hızlı bir şekilde elime ulaştı. Bunun dışında lezzeti ve acısı gayet güzel ve yerinde tavsiye ederim. Son olarak paketlemesi gayet muntazam bir nevi tablo gibiydi :) çok memnun kaldım herkese tavsiye ederim. Artık favorilerimdesiniz ).,10,10,10,pozitif
Midyeler taze değildi oradan kırdım puanı çiğköfteniz çok güzel.,9,10,7,pozitif
Limon curuktu daha dikkatli olabilirsiniz bence.,10,6,9,pozitif
Lezzetli.,8,8,8,pozitif
Mega siparis etmemize rağmen gayet standart miktarda bir dürümdü.,10,10,6,pozitif
Çok hızlı ve lezzetli. Güney kampüste yurtlara kadar getiriyorlar.,10,10,10,pozitif
Müthiş.,9,9,9,pozitif
Burasının çiğ köftesini ve midye dolmasını çok seviyoruz. Düşünmeden güvenerek sipariş veriyoruz. Ancak bugün midye dolmalar pek taze değildi. Birer tane yedikten sonra cesaret edip yiyemedik. Bugün böyle denk geldi sanırım.,9,9,6,pozitif
Çiğ köfteler açık ara diğer yerlerden çok daha lezzetli. Yeşillikler tazecik ve çok bol. Kutuyu açtığınızda görsel bir şölen var resmen kutularda. Işık hızıyla gelmesi de ayrı bir güzellikti. Mutlaka deneyin derim. Notu dikkate aldığınız için tekrar teşekkürler..,10,10,10,pozitif
"Spesiyal söylerken tereddüt etmiştim, ancak gerçekten diğer çiğköftecilerden yediklerimden çok çok daha iyiydi, lezzetliydi. Kurye de çok güler yüzlüydü. Kurye, güney kampüste yurdun kapısına kadar getirdi, normalde çoğu otoparka çağırıyor. Çiğköftenin acısı tam ayarında. Çiğköfte dediğin acı olur.",9,10,9,pozitif
Hiz ve lezzette bi sorun yok fakat yarim kg luk paketin yaninda gelecegi soylenen hic bir urun gelmedi. Keske altina gelecekmis gibi yazmasaydiniz da nar eksisini kendimiz soyleseydik. Nar eksisiz bir cigkofte cok uzdu.,10,1,10,pozitif
En kaliteli çiğ köfteci net burası.,10,10,10,pozitif
Çiğköftedeki mevcut acıyı azaltsanız herkese hitap eder... İsteyen acı sos ekler... Teşekkürler...,10,10,8,pozitif
Ayran bayattı.,9,9,9,pozitif
8/10.,8,8,8,pozitif
Sipariş teslim süreleri bu kadar uzun ve sıkıntılı değildi önceden.,1,5,9,nötr
Hızlı geldi. Marulu ve yeşilliği taze değildi ve azdı. Çiğ köftesi acıydı.,9,6,8,pozitif
"İleri tarihli sipariş verdim. Tam saatinde siparişim geldi. Ekstra isteklerimi ise bol bol yollamışlar, herşey mükemmeldi. Öneririm.",10,10,10,pozitif
"Açık ara son zamanlarda aldığım en hızlı ve lezzetli sipariş oldu. Ancak lavaşınızı değiştirmişsiniz plastik kağıt gibi dürüm sardığın zaman dağılıyor berbat birşey olmuş. 750gr söyledim iki tane limon koymuşsunuz yeterli mi sizce? Nar ekşiside yoktu, ortalamanın üstündesiniz ücrette aynı şekilde.",10,6,10,pozitif
Son zamanlarda yediğim en iyi midye dolma. Harikaydı.,9,9,10,pozitif
Çok seviyoruz.,10,10,10,pozitif
Süper. Normalde etsiz cig kofte sevmem ama bu baska bisey.,10,10,10,pozitif
"Bölgedeki en iyi çiğköfteci. Midyeler inanılmaz iyi, paketleme çok güzel.",10,10,10,pozitif
"Çok kibarlar ve ilgililer, o yüzden tercihim hep burası.",10,10,10,pozitif
"Lezzet olarak bir fark göremedim. Fiyat farkını karşılamaz bence. Ne ıslak mendil, ne peçete yollamışlar bu anlamda servis düşük ama gayet hızlı geldi.",9,5,7,pozitif
"Çok güzeldi, ellerinize sağlık!",10,10,10,pozitif
Midyeleri gayet iyi.,10,10,10,pozitif
Basarili.,8,8,10,pozitif
"Midye dolmalari sariyerde taninan birine siparis veriyolarmis, cok taze ve temiz.",10,10,10,pozitif
12 dkda geldi.,10,10,10,pozitif
"Her zamanki gibi yine çok lezzetli, taze ve özenliydi. Teşekkürler.",10,10,10,pozitif
Ellerinize sağlık.,10,10,10,pozitif
Çok güzeldi.,10,10,10,pozitif
Çiğköfte süper.,9,9,10,pozitif
Nar ekşisi ve acı sos göndermeyi unutmaları haricinde lezzetli iyiydi.,10,9,8,pozitif
Notları okuyorlar.,10,10,10,pozitif
Çok ii.,10,10,10,pozitif
Aslinda tadi cok guzeldi ancak acisiz istemistik fakat epey aciliydi.,10,10,7,pozitif
Cok hizli geldi tesekkurler.,10,9,7,pozitif
Güzel.,10,10,10,pozitif
"Hiz servis ok ama lezzet yikilmiyo hani inanilmaz bi cig kofte degil, hos inanilmaz bi cig kofte var mi onu da bilmiyorum.",9,9,7,pozitif
Muazzam lezzetli çiğköfteler ve çok hızlı geliyor.. Sadece kiloluk siparişlerde keşke fazladan lavaş koysanız :) çok teşekkürler.,10,10,10,pozitif
Teşekkür.,10,8,8,pozitif
Çok acı sos ve nar ekşisi konmuştu içine.. Halbuki ben biraz daha yeşillikle limon tercih ederdim. Bir dahakinde sos koymayın lütfen yazacağım :) çok lezzetliydi. Teşekkür ederim.,10,10,8,pozitif
"Midyeler çok tazeydi, çiğ köfte de müthişti. Elinize sağlık.",10,10,10,pozitif
Epey uzak olmasına rağmen çok hızlı geldi. Elbette urfadakinden farklı ama rakiplerine kıyasla gayet kaliteli.,10,10,9,pozitif
Ellerine ayaklarına sağlık mükemmel.,10,10,10,pozitif
Spesiyal aldım beğendim de fakat normalinden çok bir farkını hissetmedim normaliyle aradaki 5 lira farka değer mi bilemedim yinede güzel.,10,10,9,pozitif
Mukemmel..,10,10,10,pozitif
Çok acı ve içinde domates vardı :(.,8,8,8,pozitif
"Mükemmel, çok teşekkürler.",10,10,10,pozitif
Acı soslu istemememe ramen acı soslu geldi.,7,9,6,pozitif
Hızlıve lezzetli.,10,10,10,pozitif
Harika.,10,10,10,pozitif
Ciğ köfte yiyeceğim zaman tek adresim.,10,10,10,pozitif
Çok hızlısınız teşekkürler. Lezzet harikaydı.,10,10,10,pozitif
Süpersiniz :).,10,10,10,pozitif
Tesekkurler.,9,10,10,pozitif
Biraz fazla acı sanki. En azından bunu dengeleyecek kadar yeşillik koysanız.,9,9,8,pozitif
Güzel de fazla acı. Bir de keşke daha fazla sebze eklesenez.,9,9,9,pozitif
"Siparişim çok hızlı geldi ama notları okumuyorlar kesinlikle, lavaş koymayınız yazmıştım koymuşlar. Lezzetli de değil kuru buldum çiğköfteleri.",10,1,2,nötr
Herşey güzeldi.,9,9,9,pozitif
Bu sefer de gerçekten çok güzeldi. Olumsuz eleştirecek bir şey bulamıyorum :) teşekkürler.,10,10,10,pozitif
Çok iyi.,10,10,10,pozitif
Bu sefer biraz daha acılıydı. Biraz acı yiyemeyenleri de düşünelim. Çünkü efsane yapıyorsunuz çiğköfteyi.,10,10,10,pozitif
"Her şey çok güzeldi. Hızlı, lezzetli ve güzel servis edilmişti. Her şey kendi paketi içerisinde ve birbirine karışmayacak şekildeydi. Elinize sağlık. Teşekkürler.",10,10,10,pozitif
Muhteşem.,10,10,10,pozitif
Lavaşın içinde maydonoz vs yoktu.,9,6,9,pozitif
Midye dolmaların hepsi bozuktu.,9,1,1,negatif
Müüüüükkkkeeeeemmmmmmeeeeelllllllllll.,10,10,10,pozitif
Süperdi.,10,10,10,pozitif
Yarım limon vardı.,10,8,10,pozitif
İhtimaller: biber turşusu bulundurmuyorsunuz - notu okumadınız.,10,5,9,pozitif
"Dürüm sırılsıklam olmuştu neden bilmiyorum, yiyemedik, ama normal porsiyon olan lezzetliydi.",9,9,7,pozitif
Baya iyi.,10,10,10,pozitif
"Çiğ köfte acsıız seçeneğini seçtiğim halde acılı gelmiş, yiyemediğim için lezzet puanlamam 1 dir.",8,8,1,nötr
Ellerinize sağlık.,9,9,9,pozitif
Lavaş küflü.,9,6,10,pozitif
"Tek gecerim, süpersiniz.",10,10,10,pozitif
Mü-kem-mel lavasa yesillige ihtiyac yok resmen lokum gibi at agzina ye sadece cigkoftesi degil getirilen yesillik lavas vs hepsi taptazeydi.. Gercekten herseyiyle tek kelimeyle mukemmmel.. Basarilarinizin devamini dilerim..,10,10,10,pozitif
Gayet hızlı ve özenli paketlenmiş geldi...,10,10,10,pozitif
Mükemmel ötesi.,10,10,10,pozitif
Islakmendil peçete falan olsa daha iyi olacak ama hız lezzet 10 numara.,10,9,10,pozitif
Mega durumum gelmedi.,10,1,10,pozitif
Cig kofteniz cok guzel. Tesekkur ederim.,10,10,10,pozitif
Cig kofteler biraz fazla su ile yogurulmus gibiydi. Kivamini daha sert yaparsaniz 10/10/10 olacak.,10,10,7,pozitif
Çok hızlı ve güzel hizmet veriyorlar. Gelen çiğköfte efsaneydi. Çok ilgililer ve güler yüzlüler.,10,10,10,pozitif
Yolladığınız yeşillikler küflüydü servis de yavaştı.,3,1,3,negatif
Tesejkurler.,10,10,10,pozitif
"Bayat midye göndermeye utanmıyor musunuz kardeşim, ayıp değil mi?",10,1,1,nötr
İzmir de yediğim çiğ köfteyi hiç bir yerde bulamıyordum. Taa ki sizde yiyene kadar.,10,10,10,pozitif
Çok iyi fakat yeşillikler biraz daha taze olabilirdi.,10,10,9,pozitif
Toplantıların vazgecilmezi süpersiniz ellerinize saglık.,10,10,10,pozitif
40 dakika gibi bir sürede geldi. Lavaş ıslanmıştı ama lezzetli.,6,8,9,pozitif
Çiğ köfte çok ıslaktı ve lavaşınız paketün içinden küflenmiş çıktı.,9,9,7,pozitif
Beğenmedim. Çok baharatlı. Daha iyi olması dileği ile.,10,10,5,pozitif
Çok hızlı geldi. Paketleme ve lezzet herşey mükemmeldi.,10,10,10,pozitif
Çok güzeldi. Bence gayet de hızlıydı servisleri. Ellerinize sağlık.,10,9,10,pozitif
Midye dolma olmamış.,9,9,7,pozitif
Müüü kkkeeeemmm mmeeeelinanılmaz hızlı ve lezzetli. Minimum fiyat düşürülürse iyi olur 3.,10,10,10,pozitif
Emeğinize sağlık süperrrsinizzz lütfen böyle devam edin bizden tam destek.,10,10,10,pozitif
"Cabucak geldi, lezzeti de gayet iyidi, memnun kaldik...",10,9,9,pozitif
Çok da mega değildi ama çok lezzetliydi.,10,9,9,pozitif
Keşke bütün şubeleriniz bu performansı sergilese. Fiyatlarını yükseltsinler ama sizin kadar mükemmel olsunlar. Razıyım.,10,10,10,pozitif
Nar ekşisi biraz zor açılıyor onun dışında mükemmel.,10,10,10,pozitif
Süppperrrr.,10,10,10,pozitif
"Spesiyal çiğ köfte çok güzeldi, teşekkürler.",10,10,10,pozitif
Çok acıydı.,9,9,9,pozitif
"Mega mıdır jumbo mudur büyük dürüm söyledim ama çokta büyük değildi sanki lezzet, paketleme 10 numara öneriyorum.",10,10,10,pozitif
Midye.,9,9,1,nötr
Midyeler çok lezzetsiz ve tuzsuz idi. Çiğ köfte güzel. Servis ve hız güzel.,9,9,6,pozitif
"Çiğköfte sosu ve nar ekşisi çok gelmiş, dürümü çok ıslatmış çok hoş değildi. Ama lezzeti güzel ve hızlı.",10,8,9,pozitif
Harika tat harirka lezzet her daim sipariş veriypruz ellerinize sağlık.,10,10,10,pozitif
Lezzetli ancak çiğ yağ tadı geliyor insanın ağzına ve ağzımın içi bu yağ ile sıvandı. Bunun haricinde güzel.,10,10,8,pozitif
Nar eksisi akip dagilmisti ama inanilmaz hizli ve inanilmaz lezzetliydi. En sevdigim cig kofteci.,10,9,10,pozitif
Midyeleriniz efsaaaaaneeee yemeksepeti üzerinden yediğim en iyisiydi.,10,10,10,pozitif
"Cok hizliydi, cigkoftleri tam istedigimiz gibiydi (bol acili) tesekkurler.",10,10,10,pozitif
"Spesiyal muhteşem, cevizler bütün bütün. Yanına roka ya da en azından nane de koysanız şahane olacak.",10,10,10,pozitif
Osesin bile plus ı farklı oluyormuş... Her şey çok başarılı.,10,10,10,pozitif
Her zamanki gibi doyurucu ve güzel.,9,9,9,pozitif
Hız ve lezzet iyiydi fakat alınan hizmetin fişi getirilmediği için düşük puan.,9,5,9,pozitif
Acısız istedik. Aşırı acılı geldi yiyemedik.,1,1,1,negatif
Spesiyal yediğim en iyisiydi diyebilirim. Servis ve paketleme çok başarılıydı.,10,10,10,pozitif
Bravo.,10,10,10,pozitif
Harika.,10,10,10,pozitif
Spesiyal çiğ köfte çok lezzetli.,10,10,10,pozitif
1 saati geçti.,1,10,10,pozitif
Biraz fazla acı ama çok lezzetli.,9,9,9,pozitif
Servis ve lezzet cok iyi hız da aynı sekilde.,10,10,10,pozitif
Hayatimda böyle çiğ köfte görmedim duymadim bildigin bulgura salca koymuslar.,1,1,1,negatif
"Mmm, delicious.",9,9,9,pozitif
Bravo.,10,10,10,pozitif
Harika.,10,10,10,pozitif
Spesiyal çiğ köfte çok lezzetli.,10,10,10,pozitif
1 saati geçti.,1,10,10,pozitif
Biraz fazla acı ama çok lezzetli.,9,9,9,pozitif
Servis ve lezzet cok iyi hız da aynı sekilde.,10,10,10,pozitif
Hayatimda böyle çiğ köfte görmedim duymadim bildigin bulgura salca koymuslar.,1,1,1,negatif
"Mmm, delicious.",9,9,9,pozitif
Bravo.,10,10,10,pozitif
Harika.,10,10,10,pozitif
Spesiyal çiğ köfte çok lezzetli.,10,10,10,pozitif
1 saati geçti.,1,10,10,pozitif
Biraz fazla acı ama çok lezzetli.,9,9,9,pozitif
Servis ve lezzet cok iyi hız da aynı sekilde.,10,10,10,pozitif
Hayatimda böyle çiğ köfte görmedim duymadim bildigin bulgura salca koymuslar.,1,1,1,negatif
"Mmm, delicious.",9,9,9,pozitif
Bravo.,10,10,10,pozitif
Harika.,10,10,10,pozitif
Spesiyal çiğ köfte çok lezzetli.,10,10,10,pozitif
1 saati geçti.,1,10,10,pozitif
Biraz fazla acı ama çok lezzetli.,9,9,9,pozitif
Servis ve lezzet cok iyi hız da aynı sekilde.,10,10,10,pozitif
Hayatimda böyle çiğ köfte görmedim duymadim bildigin bulgura salca koymuslar.,1,1,1,negatif
"Mmm, delicious.",9,9,9,pozitif
Bravo.,10,10,10,pozitif
Harika.,10,10,10,pozitif
Spesiyal çiğ köfte çok lezzetli.,10,10,10,pozitif
1 saati geçti.,1,10,10,pozitif
Biraz fazla acı ama çok lezzetli.,9,9,9,pozitif
Servis ve lezzet cok iyi hız da aynı sekilde.,10,10,10,pozitif
Hayatimda böyle çiğ köfte görmedim duymadim bildigin bulgura salca koymuslar.,1,1,1,negatif
"Mmm, delicious.",9,9,9,pozitif
Bravo.,10,10,10,pozitif
Harika.,10,10,10,pozitif
Spesiyal çiğ köfte çok lezzetli.,10,10,10,pozitif
1 saati geçti.,1,10,10,pozitif
Biraz fazla acı ama çok lezzetli.,9,9,9,pozitif
Servis ve lezzet cok iyi hız da aynı sekilde.,10,10,10,pozitif
Hayatimda böyle çiğ köfte görmedim duymadim bildigin bulgura salca koymuslar.,1,1,1,negatif
"Mmm, delicious.",9,9,9,pozitif
Bravo.,10,10,10,pozitif
Harika.,10,10,10,pozitif
Spesiyal çiğ köfte çok lezzetli.,10,10,10,pozitif
1 saati geçti.,1,10,10,pozitif
Biraz fazla acı ama çok lezzetli.,9,9,9,pozitif
Servis ve lezzet cok iyi hız da aynı sekilde.,10,10,10,pozitif
Hayatimda böyle çiğ köfte görmedim duymadim bildigin bulgura salca koymuslar.,1,1,1,negatif
"Mmm, delicious.",9,9,9,pozitif
Bravo.,10,10,10,pozitif
Harika.,10,10,10,pozitif
Spesiyal çiğ köfte çok lezzetli.,10,10,10,pozitif
1 saati geçti.,1,10,10,pozitif
Biraz fazla acı ama çok lezzetli.,9,9,9,pozitif
Servis ve lezzet cok iyi hız da aynı sekilde.,10,10,10,pozitif
Hayatimda böyle çiğ köfte görmedim duymadim bildigin bulgura salca koymuslar.,1,1,1,negatif
"Mmm, delicious.",9,9,9,pozitif
Bravo.,10,10,10,pozitif
Harika.,10,10,10,pozitif
Spesiyal çiğ köfte çok lezzetli.,10,10,10,pozitif
1 saati geçti.,1,10,10,pozitif
Biraz fazla acı ama çok lezzetli.,9,9,9,pozitif
Servis ve lezzet cok iyi hız da aynı sekilde.,10,10,10,pozitif
Hayatimda böyle çiğ köfte görmedim duymadim bildigin bulgura salca koymuslar.,1,1,1,negatif
"Mmm, delicious.",9,9,9,pozitif
Bravo.,10,10,10,pozitif
Harika.,10,10,10,pozitif
Spesiyal çiğ köfte çok lezzetli.,10,10,10,pozitif
1 saati geçti.,1,10,10,pozitif
Biraz fazla acı ama çok lezzetli.,9,9,9,pozitif
Servis ve lezzet cok iyi hız da aynı sekilde.,10,10,10,pozitif
Hayatimda böyle çiğ köfte görmedim duymadim bildigin bulgura salca koymuslar.,1,1,1,negatif
"Mmm, delicious.",9,9,9,pozitif
Bravo.,10,10,10,pozitif
